HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
85395010,Mercury or sodium vapour lamps; metal halide lamps,Mercury or sodium vapour lamps; metal halide lamps,Other products,Other products ,Other Imports,Other products ,NMB,15
85395020,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85395090,Arc-lamps,Arc-lamps,Other products,Other products ,Other Imports,Other products ,NMB,15
85399000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85401100,Light-emitting diode (LED)  lamps,NULL,Other products,Other products ,Other Imports,Other products ,NULL,NULL
85401200,LED bulb,LED bulb,Other products,Other products ,Other Imports,Other products ,NMB,5
85402000,LED tube,LED tube,Other products,Other products ,Other Imports,Other products ,NMB,5
85404000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
85406000,Parts,Parts,Other products,Other products ,Other Imports,Other products ,KGM,15
85407100,Colour,Colour,Other products,Other products ,Other Imports,Other products ,NMB,15
85407900,Monochrome,Monochrome,Other products,Other products ,Other Imports,Other products ,NMB,15
85408100,Television camera tubes; image converters/intensifiers; photo-cathodes,Television camera tubes; image converters/intensifiers; photo-cathodes,Other products,Other products ,Other Imports,Other products ,NMB,15
85408900,"Data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than....,","Data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than....,",Other products,Other products ,Other Imports,Other products ,NMB,15
85409100,Other cathode-ray tubes,Other cathode-ray tubes,Other products,Other products ,Other Imports,Other products ,NMB,15
85409900,Magnetrons,Magnetrons,Other products,Other products ,Other Imports,Other products ,NMB,15
85411000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85412100,Receiver or amplifier valves and tubes,Receiver or amplifier valves and tubes,Other products,Other products ,Other Imports,Other products ,NMB,15
85412900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
